"sys_id","name","city","state","country","latitude","longitude","parent"
"a9b78c7155a6fa147414bde1485f6eab","Banki Health Post HQ","Maiduguri","Borno","Nigeria | Nigéria","","",""
"0882c979acd5b610b210f748787f8377","Banso Baptist Hospital HQ","Kumbo","North West Region","Cameroon | Cameroun","","",""
"e4603493ec5fc510078a8ddfae39e02e","Bar Elias","","","","","","Liban"
"c5603493ec5fc510078a8ddfae39e09e","Baraka","","","","","","Congo - Kinshasa"
"d1703c93ec5fc510078a8ddfae39e02b","Barbade","","","","","","The Americas region"
"74603493ec5fc510078a8ddfae39e041","Barcelona Airport","","","","0","0","Brussels"
"64603493ec5fc510078a8ddfae39e037","Barda","","","","40.38376","47.135295","Baku"
"68603493ec5fc510078a8ddfae39e02a","Bardera","","","","2.333335","42.283334","Somalie-nairobi"
"05603493ec5fc510078a8ddfae39e0ba","Barentu","","","","","","Érythrée"
"24603493ec5fc510078a8ddfae39e028","Barrancabermeja","","","","","","Colombie"
